Dataset,Miss_Rate,Variant,Seed,Accuracy_Mean5,Accuracy_Std5,Accuracy_Final,Run_Code,Log_File
NATOPS,0.0,tvf_transformer_latent,9999,90.0000011920929,1.1653439476370615,90.55556058883667,t1764062677,run_models_seed9999_t1764062677.log
NATOPS,0.0,channel_latent,42,84.22222137451172,0.9026715403607044,83.88888835906982,t1763794838,run_models_seed42_t1763794838.log
NATOPS,0.0,channel_latent,777,85.55555582046509,1.4487127021178847,86.66666746139526,t1763795216,run_models_seed777_t1763795216.log
NATOPS,0.0,channel_latent,2023,88.33333253860474,5.091751119021284,92.22221970558167,t1763795026,run_models_seed2023_t1763795026.log
NATOPS,0.0,channel_latent,9999,92.11111187934875,1.8724778987150246,93.33333373069763,t1763795402,run_models_seed9999_t1763795402.log
NATOPS,0.3,baseline,42,79.44444417953491,0.0,79.44444417953491,t1763111324,run_models_seed42_t1763111324.log
NATOPS,0.3,baseline,42,80.44444680213928,0.22222280502319336,80.55555820465088,t1763112720,run_models_seed42_t1763112720.log
NATOPS,0.3,baseline,42,72.22222089767456,0.0,72.22222089767456,t1763148463,run_models_seed42_t1763148463.log
NATOPS,0.3,baseline,42,77.77777910232544,0.0,77.77777910232544,t1763148690,run_models_seed42_t1763148690.log
NATOPS,0.3,baseline,42,80.55555820465088,0.0,80.55555820465088,t1763222832,run_models_seed42_t1763222832.log
NATOPS,0.3,baseline,42,82.77778029441833,0.0,82.77778029441833,t1763299418,run_models_seed42_t1763299418.log
NATOPS,0.3,baseline,777,82.22222328186035,0.0,82.22222328186035,t1763111721,run_models_seed777_t1763111721.log
NATOPS,0.3,baseline,777,81.66666626930237,0.0,81.66666626930237,t1763113092,run_models_seed777_t1763113092.log
NATOPS,0.3,baseline,777,78.33333611488342,0.0,78.33333611488342,t1763148839,run_models_seed777_t1763148839.log
NATOPS,0.3,baseline,777,82.22222328186035,0.0,82.22222328186035,t1763149070,run_models_seed777_t1763149070.log
